,Training,Noise,Training Error,Testing Error,Time Count,Weight,Bias,Objective Function
0,80,0,0.15000000000000002,0.050000000000000044,0.000735999999960768,[[ 0.49051053 -1.80567688]],8.801527684269557,-0.2716491154089667
0,80,5,0.19999999999999996,0.09999999999999998,0.0005409999999983484,[[ 0.37057085 -1.28818487]],6.108806243692082,-0.2876689924363041
0,80,10,0.23750000000000004,0.19999999999999996,0.0005319999999642278,[[ 0.47273107 -1.10205815]],4.234114728943772,-0.42895293230895676
0,80,15,0.26249999999999996,0.25,0.0006750000000010914,[[ 0.15972244 -1.01487286]],5.391620236706611,-0.15738172375157963
0,80,20,0.3125,0.30000000000000004,0.000551999999970576,[[-0.37284151 -0.86147374]],7.401229208266106,0.43279498057952814
0,80,25,0.32499999999999996,0.30000000000000004,0.0005949999999756983,[[-0.55906075 -1.00420567]],9.532280790647697,0.5567193725077745
0,80,30,0.32499999999999996,0.30000000000000004,0.0008470000000215805,[[-0.63545113 -0.96547851]],9.707663255231985,0.6581722137362014
0,70,0,0.17142857142857137,0.06666666666666665,0.0009579999999687061,[[ 0.23587098 -1.6937612 ]],9.512552879438836,-0.1392587002995199
0,70,5,0.22857142857142854,0.1333333333333333,0.0008550000000013824,[[ 0.26109995 -1.16243706]],6.083051498167015,-0.22461426673917562
0,70,10,0.27142857142857146,0.16666666666666663,0.0008060000000114087,[[ 0.27149955 -1.05462847]],5.257264807058557,-0.2574362022871801
0,70,15,0.2571428571428571,0.30000000000000004,0.0005799999999567262,[[-0.2691835  -1.13075436]],8.621815120236485,0.23805656585444843
0,70,20,0.3285714285714286,0.33333333333333337,0.0005320000000210712,[[-0.44289284 -0.96034222]],8.536265547045465,0.46118231129224685
0,70,25,0.3285714285714286,0.30000000000000004,0.0007049999999821921,[[-0.54306159 -0.98407501]],9.328675762113905,0.5518497927532371
0,70,30,0.34285714285714286,0.30000000000000004,0.0007150000000137879,[[-0.54566723 -0.98315363]],9.342140954438902,0.5550172561419976
0,60,0,0.15000000000000002,0.09999999999999998,0.0006529999999997926,[[ 0.47208855 -1.52562676]],7.159388729373019,-0.30943908785209834
0,60,5,0.23333333333333328,0.15000000000000002,0.0006579999999871688,[[ 0.28328868 -1.10612143]],5.571054653707802,-0.2561099324092862
0,60,10,0.2833333333333333,0.19999999999999996,0.0004569999999830543,[[-0.00913388 -1.03761455]],6.7388172564436,0.008802765242970929
0,60,15,0.2666666666666667,0.35,0.0005400000000008731,[[-0.43994448 -1.01714394]],8.917780452704747,0.43252922012041345
0,60,20,0.33333333333333337,0.30000000000000004,0.0004840000000285727,[[-0.52000875 -0.95339471]],8.972548229514615,0.5454286111171591
0,60,25,0.31666666666666665,0.32499999999999996,0.0006159999999795218,[[-0.54716449 -0.9831734 ]],9.35265886759289,0.5565289815765116
0,60,30,0.33333333333333337,0.32499999999999996,0.0004519999999956781,[[-0.5651238  -0.94559435]],9.249413822291089,0.5976387244009728
0,50,0,0.16000000000000003,0.12,0.0004230000000120526,[[ 0.55704983 -1.59364636]],7.201822960188477,-0.34954419081731225
0,50,5,0.19999999999999996,0.16000000000000003,0.0004299999999943793,[[ 0.45570553 -1.11412575]],4.705623344376406,-0.40902521515526774
0,50,10,0.21999999999999997,0.28,0.0005160000000046239,[[ 0.42223275 -1.07428274]],4.663932503858583,-0.39303689431803307
0,50,15,0.26,0.26,0.000527000000033695,[[ 0.24393315 -0.94344508]],4.5924892837978994,-0.25855575053119034
0,50,20,0.30000000000000004,0.33999999999999997,0.0004589999999780048,[[ 0.21697073 -0.77793516]],3.8586678229842306,-0.27890593008668846
0,50,25,0.31999999999999995,0.33999999999999997,0.00046700000001465014,[[-0.08208688 -0.89803871]],6.35826816932931,0.09140683514003253
0,50,30,0.30000000000000004,0.4,0.0004729999999995016,[[-0.03771155 -0.80130837]],5.593591681472835,0.047062465919139686
0,80,0,0.0,0.0,0.0005439999999907741,[[-0.39902577 -0.42968493]],3.2199107393390363,0.92864734518107
0,80,5,0.03749999999999998,0.09999999999999998,0.0005869999999958964,[[-0.31711082 -0.37315269]],2.565240440771731,0.849815183463451
0,80,10,0.08750000000000002,0.15000000000000002,0.0004549999999881038,[[-0.35361773 -0.25381517]],1.9674726695478049,1.3932095560785032
0,80,15,0.125,0.25,0.0005079999999679785,[[-0.39775148 -0.20065694]],1.7474084741881348,1.9822463370659118
0,80,20,0.17500000000000004,0.30000000000000004,0.0005100000000197724,[[-0.28939346 -0.27560742]],1.8751884776159198,1.0500205824518294
0,80,25,0.21250000000000002,0.4,0.0006349999999883948,[[-0.28666491 -0.27053435]],1.8577508845321242,1.059624781079993
0,80,30,0.25,0.5,0.0005750000000261934,[[-0.25497483 -0.26208993]],1.6909161511468345,0.9728524579743875
0,70,0,0.0,0.0,0.00043300000004364847,[[-0.39902576 -0.42968492]],3.2199107181628,0.9286473451810702
0,70,5,0.02857142857142858,0.09999999999999998,0.00045099999999820284,[[-0.30089955 -0.38670264]],2.6122943856367207,0.7781160826383358
0,70,10,0.08571428571428574,0.1333333333333333,0.00046099999997295527,[[-0.34074003 -0.25818456]],1.954986801129244,1.3197537061492737
0,70,15,0.09999999999999998,0.2666666666666667,0.00048599999996667975,[[-0.33987356 -0.25859768]],1.9547531827598563,1.314294717882999
0,70,20,0.15714285714285714,0.30000000000000004,0.00044900000000325235,[[-0.27881546 -0.28259682]],1.9055137427409445,0.9866192249124821
0,70,25,0.18571428571428572,0.4,0.0005489999999781503,[[-0.27455819 -0.2824439 ]],1.8990358120803024,0.9720804341546037
0,70,30,0.22857142857142854,0.4666666666666667,0.0007400000000075124,[[-0.22637612 -0.29997932]],1.8576755842240285,0.7546390742469462
0,60,0,0.0,0.0,0.00040300000000570435,[[-0.39902576 -0.42968492]],3.219910719410779,0.9286473451810701
0,60,5,0.033333333333333326,0.07499999999999996,0.00044400000001587614,[[-0.27358628 -0.41982379]],2.6689345660296824,0.6516693137403301
0,60,10,0.09999999999999998,0.09999999999999998,0.0004109999999855063,[[-0.32400327 -0.26461519]],1.9421028189490392,1.2244318789918258
0,60,15,0.1166666666666667,0.19999999999999996,0.00045599999998557905,[[-0.31762431 -0.26672606]],1.9358094774231283,1.1908259401254178
0,60,20,0.18333333333333335,0.22499999999999998,0.00044400000001587614,[[-0.2497512  -0.30320667]],1.8980443524837103,0.823699560033079
0,60,25,0.21666666666666667,0.30000000000000004,0.00045999999997548,[[-0.24520421 -0.29782563]],1.8820491731168307,0.8233146502970818
0,60,30,0.25,0.375,0.00045099999999820284,[[-0.19730773 -0.31341919]],1.8373674445729202,0.6295330190442376
0,50,0,0.0,0.0,0.0003399999999942338,[[-0.30236364 -0.38841688]],2.628760035348483,0.7784513261848637
0,50,5,0.040000000000000036,0.06000000000000005,0.00037100000002965317,[[-0.20238056 -0.4975348 ]],2.7679651451449048,0.4067666412490079
0,50,10,0.09999999999999998,0.09999999999999998,0.0005039999999780775,[[-0.33116401 -0.31731469]],2.0438659851399796,1.0436453853289187
0,50,15,0.12,0.18000000000000005,0.00039400000002842717,[[-0.29954695 -0.29095367]],1.9507097225795083,1.029534877789997
0,50,20,0.16000000000000003,0.24,0.00043499999998175554,[[-0.25244649 -0.3064456 ]],1.9074902311382658,0.8237889146748159
0,50,25,0.19999999999999996,0.30000000000000004,0.0004059999999981301,[[-0.2414251  -0.31017586]],1.8976650959334522,0.778349087834958
0,50,30,0.21999999999999997,0.38,0.00046099999997295527,[[-0.26349458 -0.28083115]],1.8372469678223418,0.9382669524557793
0,80,0,0.0,0.0,0.0004969999999957508,[[0.00533146 1.31705992]],-2.9083873261523827,0.0040479990683622005
0,80,5,0.0625,0.0,0.0005459999999857246,[[0.1461824  0.73171246]],-2.506218524048261,0.1997812038937112
0,80,10,0.11250000000000004,0.050000000000000044,0.0005530000000248947,[[0.06525319 0.61609637]],-1.657581769131417,0.10591394030122424
0,80,15,0.16249999999999998,0.09999999999999998,0.0006569999999896936,[[0.09860066 0.53691725]],-1.5451420294864768,0.18364218326725848
0,80,20,0.21250000000000002,0.15000000000000002,0.0006220000000212167,[[0.07302113 0.51604297]],-1.40733116190204,0.1415020339655006
0,80,25,0.26249999999999996,0.19999999999999996,0.0006399999999757711,[[0.11035885 0.46225549]],-1.4538372565874143,0.23873994181831146
0,80,30,0.32499999999999996,0.19999999999999996,0.0006850000000326872,[[0.14297593 0.38562416]],-1.5164622982004836,0.3707649646554121
0,70,0,0.0,0.0,0.0003839999999968313,[[0.00533142 1.31705989]],-2.908387122197372,0.0040479718996492215
0,70,5,0.0714285714285714,0.0,0.00048300000003109744,[[0.15872849 0.72491398]],-2.557004256771329,0.21896182380890578
0,70,10,0.12857142857142856,0.033333333333333326,0.0005069999999705033,[[0.13361387 0.61400477]],-2.0086100216018457,0.217610479797322
0,70,15,0.18571428571428572,0.06666666666666665,0.0005339999999591782,[[0.08103926 0.53390479]],-1.4504565861678544,0.1517859751004051
0,70,20,0.24285714285714288,0.09999999999999998,0.0005490000000349937,[[0.04682984 0.50072992]],-1.2362172589498275,0.0935231451128406
0,70,25,0.30000000000000004,0.1333333333333333,0.0005909999999857973,[[0.16182364 0.39554151]],-1.570415780365714,0.40911923704608005
0,70,30,0.3285714285714286,0.23333333333333328,0.000551999999970576,[[0.11422754 0.38302066]],-1.366916913793995,0.2982281517905548
0,60,0,0.0,0.0,0.00038899999998420753,[[0.00533146 1.31705992]],-2.90838732615238,0.004047999068362201
0,60,5,0.06666666666666665,0.025000000000000022,0.0003969999999640095,[[0.11159302 0.74023756]],-2.3929814170731016,0.15075298897654318
0,60,10,0.1166666666666667,0.07499999999999996,0.0004910000000108994,[[-0.18195407  0.68746205]],-0.7847693010652931,-0.2646750818985277
0,60,15,0.18333333333333335,0.09999999999999998,0.0005199999999945248,[[-0.06874979  0.5778632 ]],-0.9475319294602937,-0.11897242848970997
0,60,20,0.25,0.125,0.0004920000000083746,[[-0.00253427  0.47349378]],-1.0870652423605127,-0.005352268636984245
0,60,25,0.31666666666666665,0.15000000000000002,0.0007319999999708671,[[0.06416593 0.40738558]],-1.243837912532513,0.15750662233104004
0,60,30,0.35,0.22499999999999998,0.0005449999999882493,[[0.02510221 0.42428392]],-1.147657674913046,0.059163702899495706
0,50,0,0.0,0.0,0.0004040000000031796,[[0.00533146 1.31705992]],-2.9083873261523827,0.004047999068362202
0,50,5,0.06000000000000005,0.040000000000000036,0.0004270000000019536,[[0.12260655 0.73868649]],-2.4398342347458946,0.16597913923626795
0,50,10,0.12,0.07999999999999996,0.0004480000000057771,[[-0.18103598  0.68150543]],-0.7834023904092938,-0.2656412897922796
